Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0603",424.706887,-157.224905,135.000000,bottom
"C2","22pF","C_0603",419.571062,-157.469620,45.000000,bottom
"C3","1uF","C_0603",409.602913,-164.691087,225.000000,bottom
"C4","4.7uF","C_0603",406.654000,-112.443500,270.000000,bottom
"C5","10nF","C_0603",435.102000,-97.917000,270.000000,bottom
"C6","0.1uF","C_0603",131.191000,-139.053000,270.000000,bottom
"C7","0.1uF","C_0603",131.000500,-148.431250,270.000000,bottom
"C8","0.1uF","C_0603",130.968750,-158.083250,270.000000,bottom
"C9","0.1uF","C_0603",130.937000,-167.481250,270.000000,bottom
"C10","0.1uF","C_0603",131.191000,-177.165000,270.000000,bottom
"C11","0.1uF","C_0603",437.007000,-138.799000,270.000000,bottom
"C12","0.1uF","C_0603",437.007000,-148.324000,270.000000,bottom
"C13","0.1uF","C_0603",437.007000,-157.976000,270.000000,bottom
"C14","0.1uF","C_0603",437.007000,-168.263000,270.000000,bottom
"C15","0.1uF","C_0603",437.134000,-177.026000,270.000000,bottom
"C16","10nF","C_0603",429.907000,-104.521000,0.000000,bottom
"C17","10nF","C_0603",427.990000,-98.032000,270.000000,bottom
"C18","0.1uF","C_0603",408.178000,-174.244000,315.000000,bottom
"C19","0.1uF","C_0603",413.013420,-178.857170,135.000000,bottom
"C20","0.1uF","C_0603",419.503330,-162.963330,315.000000,bottom
"C21","10uF","C_0603",425.713420,-172.774080,225.000000,bottom
"D1","SK6805-EC15","LED_SK6812_EC15_1.5x1.5mm",128.582000,-138.753000,180.000000,bottom
"D2","SK6805-EC15","LED_SK6812_EC15_1.5x1.5mm",128.651000,-148.209000,180.000000,bottom
"D3","SK6805-EC15","LED_SK6812_EC15_1.5x1.5mm",128.651000,-157.861000,180.000000,bottom
"D4","SK6805-EC15","LED_SK6812_EC15_1.5x1.5mm",128.593000,-167.190000,180.000000,bottom
"D5","SK6805-EC15","LED_SK6812_EC15_1.5x1.5mm",128.593000,-176.842000,180.000000,bottom
"D6","SK6805-EC15","LED_SK6812_EC15_1.5x1.5mm",439.097000,-138.361000,180.000000,bottom
"D7","SK6805-EC15","LED_SK6812_EC15_1.5x1.5mm",439.097000,-147.897000,180.000000,bottom
"D8","SK6805-EC15","LED_SK6812_EC15_1.5x1.5mm",439.097000,-157.607000,180.000000,bottom
"D9","SK6805-EC15","LED_SK6812_EC15_1.5x1.5mm",439.097000,-166.947000,180.000000,bottom
"D10","SK6805-EC15","LED_SK6812_EC15_1.5x1.5mm",439.097000,-176.657000,180.000000,bottom
"D_1","D","D_SOD-123",145.050000,-101.306250,90.000000,bottom
"D_2","D","D_SOD-123",183.150000,-101.306250,90.000000,bottom
"D_3","D","D_SOD-123",202.200000,-101.306250,90.000000,bottom
"D_4","D","D_SOD-123",221.250000,-101.306250,90.000000,bottom
"D_5","D","D_SOD-123",240.300000,-101.306250,90.000000,bottom
"D_6","D","D_SOD-123",268.875000,-101.306250,90.000000,bottom
"D_7","D","D_SOD-123",287.925000,-101.306250,90.000000,bottom
"D_8","D","D_SOD-123",306.975000,-101.306250,90.000000,bottom
"D_9","D","D_SOD-123",326.025000,-101.306250,90.000000,bottom
"D_10","D","D_SOD-123",354.600000,-101.306250,90.000000,bottom
"D_11","D","D_SOD-123",373.650000,-101.306250,90.000000,bottom
"D_12","D","D_SOD-123",392.700000,-101.306250,90.000000,bottom
"D_13","D","D_SOD-123",411.750000,-101.306250,90.000000,bottom
"D_14","D","D_SOD-123",145.050000,-125.118750,90.000000,bottom
"D_15","D","D_SOD-123",164.100000,-125.118750,90.000000,bottom
"D_16","D","D_SOD-123",183.150000,-125.118750,90.000000,bottom
"D_17","D","D_SOD-123",202.200000,-125.118750,90.000000,bottom
"D_18","D","D_SOD-123",221.250000,-125.118750,90.000000,bottom
"D_19","D","D_SOD-123",240.300000,-125.118750,90.000000,bottom
"D_20","D","D_SOD-123",259.350000,-125.118750,90.000000,bottom
"D_21","D","D_SOD-123",278.400000,-125.118750,90.000000,bottom
"D_22","D","D_SOD-123",297.450000,-125.118750,90.000000,bottom
"D_23","D","D_SOD-123",316.500000,-125.118750,90.000000,bottom
"D_24","D","D_SOD-123",335.550000,-125.118750,90.000000,bottom
"D_25","D","D_SOD-123",354.600000,-125.118750,90.000000,bottom
"D_26","D","D_SOD-123",373.650000,-125.118750,90.000000,bottom
"D_27","D","D_SOD-123",402.431250,-125.118750,90.000000,bottom
"D_28","D","D_SOD-123",430.150000,-119.380000,0.000000,bottom
"D_29","D","D_SOD-123",149.606000,-144.018000,90.000000,bottom
"D_30","D","D_SOD-123",173.625000,-144.168750,90.000000,bottom
"D_31","D","D_SOD-123",192.675000,-144.168750,90.000000,bottom
"D_32","D","D_SOD-123",211.725000,-144.168750,90.000000,bottom
"D_33","D","D_SOD-123",230.775000,-144.168750,90.000000,bottom
"D_34","D","D_SOD-123",249.825000,-144.168750,90.000000,bottom
"D_35","D","D_SOD-123",268.875000,-144.168750,90.000000,bottom
"D_36","D","D_SOD-123",287.925000,-144.168750,90.000000,bottom
"D_37","D","D_SOD-123",306.975000,-144.168750,90.000000,bottom
"D_38","D","D_SOD-123",326.025000,-144.168750,90.000000,bottom
"D_39","D","D_SOD-123",345.075000,-144.168750,90.000000,bottom
"D_40","D","D_SOD-123",364.125000,-144.168750,90.000000,bottom
"D_41","D","D_SOD-123",383.175000,-144.168750,90.000000,bottom
"D_42","D","D_SOD-123",407.193750,-144.168750,90.000000,bottom
"D_43","D","D_SOD-123",430.276000,-138.430000,0.000000,bottom
"D_44","D","D_SOD-123",152.146000,-163.218750,90.000000,bottom
"D_45","D","D_SOD-123",178.387500,-163.218750,90.000000,bottom
"D_46","D","D_SOD-123",197.437500,-163.218750,90.000000,bottom
"D_47","D","D_SOD-123",216.487500,-163.218750,90.000000,bottom
"D_48","D","D_SOD-123",235.537500,-163.218750,90.000000,bottom
"D_49","D","D_SOD-123",254.587500,-163.218750,90.000000,bottom
